user_id,full_name,dob,country,pep,occupation,source_of_funds,risk_level
100,Jeffery West,1960-11-07,Libyan Arab Jamahiriya,False,Chemical engineer,Salary,medium
1000,Danny Farrell,1962-08-04,Lebanon,False,Event organiser,Business Income,medium
1000160903,Andrea Rodriguez,1955-02-18,Kuwait,False,Learning disability nurse,Salary,medium
1000854997,Amy Mueller,1948-10-11,Iran,True,State Entity,Unknown,high
1001,Amy Norton,1945-07-16,Russia,False,Consultant,Cash,high
1001309896,Thomas Castro,1997-08-27,Bhutan,False,Company secretary,Salary,low
1001461197,Katelyn Spencer,1967-09-20,Faroe Islands,False,"Radiographer, therapeutic",Investments,low
1001683171,Shannon Johnson,1946-08-10,Faroe Islands,False,Hospital pharmacist,Investments,low
1001768606,Yolanda Zimmerman,1953-01-15,Gibraltar,False,Herpetologist,Salary,low
1002,Carol Berry MD,1954-02-15,French Polynesia,False,Regulatory affairs officer,Investments,low
1002341456,Cassandra Wall,1990-06-18,Burkina Faso,False,Theatre manager,Salary,low
100251233,Jeffrey Robbins,1972-11-23,Lithuania,False,"Engineer, electronics",Business Income,medium
1002563916,Erica Cervantes,1992-11-17,Sudan,False,"Surveyor, quantity",Business Income,medium
1002754336,Christopher Glenn,1986-06-08,Malta,False,Holiday representative,Salary,medium
1003,Lee Johnson,1964-04-03,Macao,False,"Nurse, mental health",Salary,low
1003650773,Max Myers,1999-05-01,Jamaica,False,Visual merchandiser,Salary,medium
100386724,Rebecca Harvey,1951-09-26,Jersey,False,"Investment banker, corporate",Salary,low
1004,Nathan Stevens,1960-01-04,Kazakhstan,False,Writer,Business Income,low
1004096715,Suzanne Hudson,1946-04-09,Antarctica (the territory South of 60 deg S),False,Lawyer,Business Income,low
1004291387,Kathleen Guzman,1987-05-23,Cameroon,False,"Administrator, local government",Investments,medium
1005049826,Shawn Wagner,1948-01-30,Italy,False,Multimedia programmer,Business Income,medium
1005226964,Jennifer Alvarez,2005-06-26,Andorra,False,"Buyer, retail",Salary,low
1005593626,Debbie Brown,1969-05-20,Denmark,False,Pension scheme manager,Investments,medium
1005663683,Daniel Marsh,1997-12-14,Saint Pierre and Miquelon,False,Sports administrator,Business Income,low
1005746971,Craig Hernandez,1975-04-21,Yemen,False,IT consultant,Business Income,medium
1006,Andrew Stokes,1992-04-17,Malta,False,"Surveyor, minerals",Business Income,medium
1006137103,Brian Stafford,1947-01-11,British Indian Ocean Territory (Chagos Archipelago),False,"Teacher, early years/pre",Investments,low
1006249386,Stacey Dickerson,2003-03-16,Tokelau,False,Records manager,Salary,medium
100652286,Martha Mcdonald,1954-04-25,Lebanon,False,Higher education careers adviser,Business Income,low
100684787,Jeffrey Gonzalez,1973-02-11,Andorra,False,"Radiographer, therapeutic",Salary,low
1007,Kelly West,1971-10-03,Liechtenstein,False,Teaching laboratory technician,Salary,medium
1007081918,Gregory Pope,2005-02-13,Dominica,False,Armed forces training and education officer,Salary,low
1007741007,Darryl Harrison,1945-02-19,Turkey,False,Architect,Salary,low
